,raw_time,raw_win_pct,clean_time,SD_win_pct
96,13:24 - 4th),SD 97.7%,2796,97.7
97,12:56 - 4th),SD 98.5%,2824,98.5
98,12:53 - 4th),SD 99.1%,2827,99.1
99,12:12 - 4th),SD 99.3%,2868,99.3
100,11:28 - 4th),SD 99.1%,2912,99.1
101,11:20 - 4th),SD 97.1%,2920,97.1
102,10:56 - 4th),SD 98.0%,2944,98.0
103,10:29 - 4th),SD 99.4%,2971,99.4
104,10:25 - 4th),SD 97.7%,2975,97.7
105,10:06 - 4th),SD 97.2%,2994,97.2
106,9:44 - 4th) ,SD 96.6%,3016,96.6
107,9:18 - 4th) ,SD 94.0%,3042,94.0
108,9:14 - 4th) ,SD 95.9%,3046,95.9
109,8:30 - 4th) ,SD 95.9%,3090,95.9
110,7:48 - 4th) ,SD 96.5%,3132,96.5
111,7:05 - 4th) ,SD 95.7%,3175,95.7
112,7:00 - 4th) ,SD 95.7%,3180,95.7
113,6:49 - 4th) ,SD 93.1%,3191,93.1
114,6:26 - 4th) ,SD 94.7%,3214,94.7
115,6:22 - 4th) ,SD 93.0%,3218,93.0
116,5:54 - 4th) ,SD 95.4%,3246,95.4
117,5:50 - 4th) ,SD 93.4%,3250,93.4
118,5:23 - 4th) ,SD 92.2%,3277,92.2
119,4:56 - 4th) ,SD 87.9%,3304,87.9
120,4:28 - 4th) ,SD 87.9%,3332,87.9
121,4:03 - 4th) ,SD 90.2%,3357,90.2
122,3:56 - 4th) ,SD 90.5%,3364,90.5
123,3:51 - 4th) ,SD 91.3%,3369,91.3
124,3:09 - 4th) ,SD 89.8%,3411,89.8
125,2:27 - 4th) ,SD 88.9%,3453,88.9
126,2:20 - 4th) ,SD 87.1%,3460,87.1
127,2:00 - 4th) ,SD 89.6%,3480,89.6
128,1:59 - 4th) ,SD 80.4%,3481,80.4
129,1:49 - 4th) ,SD 82.1%,3491,82.1
130,1:24 - 4th) ,SD 80.5%,3516,80.5
131,1:19 - 4th) ,SD 86.2%,3521,86.2
132,1:03 - 4th) ,KC 54.6%,3537,45.4
133,0:59 - 4th) ,SD 59.4%,3541,59.4
134,0:48 - 4th) ,KC 57.7%,3552,42.3
135,0:15 - 4th) ,KC 55.4%,3585,44.6
136,0:08 - 4th) ,SD 54.5%,3592,54.5
137,0:00 - 4th) ,TIE,3600,50.0
138,15:00 - OT) ,SD 50.5%,3600,50.5
139,14:53 - OT) ,KC 62.8%,3607,37.2
140,14:31 - OT) ,KC 68.9%,3629,31.099999999999994
141,13:54 - OT) ,KC 69.6%,3666,30.400000000000006
142,13:14 - OT) ,KC 70.3%,3706,29.700000000000003
143,12:34 - OT) ,KC 75.4%,3746,24.599999999999994
144,12:01 - OT) ,KC 73.1%,3779,26.900000000000006
145,11:16 - OT) ,KC 81.4%,3824,18.599999999999994
146,10:46 - OT) ,KC 81.4%,3854,18.599999999999994
147,10:46 - OT) ,KC 79.4%,3854,20.599999999999994
148,10:44 - OT) ,KC 83.5%,3856,16.5
149,9:59 - OT) T,KC 83.5%,3901,16.5
150,9:53 - OT) A,KC 100%,3907,0.0
151,0:00 - OT) E,KC 100%,4500,0.0
