,raw_time,raw_win_pct,clean_time,LV_win_pct
61,12:22 - 3rd),TEN 83.9%,1958,16.099999999999994
62,11:40 - 3rd),TEN 83.7%,2000,16.299999999999997
63,11:21 - 3rd),TEN 84.8%,2019,15.200000000000003
64,10:39 - 3rd),TEN 80.0%,2061,20.0
65,10:01 - 3rd),TEN 81.3%,2099,18.700000000000003
66,9:17 - 3rd) ,TEN 78.8%,2143,21.200000000000003
67,8:44 - 3rd) ,TEN 80.8%,2176,19.200000000000003
68,8:04 - 3rd) ,TEN 82.5%,2216,17.5
69,7:22 - 3rd) ,TEN 83.5%,2258,16.5
70,7:05 - 3rd) ,TEN 85.8%,2275,14.200000000000003
71,6:57 - 3rd) ,TEN 84.3%,2283,15.700000000000003
72,6:25 - 3rd) ,TEN 83.8%,2315,16.200000000000003
73,6:08 - 3rd) ,TEN 83.2%,2332,16.799999999999997
74,5:40 - 3rd) ,TEN 84.1%,2360,15.900000000000006
75,4:47 - 3rd) ,TEN 79.5%,2413,20.5
76,4:25 - 3rd) ,TEN 80.2%,2435,19.799999999999997
77,3:49 - 3rd) ,TEN 81.5%,2471,18.5
78,3:45 - 3rd) ,TEN 86.6%,2475,13.400000000000006
79,3:05 - 3rd) ,TEN 86.0%,2515,14.0
80,2:55 - 3rd) ,TEN 83.4%,2525,16.599999999999994
81,2:17 - 3rd) ,TEN 82.6%,2563,17.400000000000006
82,2:13 - 3rd) ,TEN 89.8%,2567,10.200000000000003
83,1:22 - 3rd) ,TEN 89.0%,2618,11.0
84,0:38 - 3rd) ,TEN 92.3%,2662,7.700000000000003
85,15:00 - 4th),TEN 91.2%,2700,8.799999999999997
86,14:19 - 4th),TEN 92.4%,2741,7.599999999999994
87,13:42 - 4th),TEN 89.9%,2778,10.099999999999994
88,12:54 - 4th),TEN 88.3%,2826,11.700000000000003
89,12:09 - 4th),TEN 86.0%,2871,14.0
90,11:22 - 4th),TEN 78.9%,2918,21.099999999999994
91,10:55 - 4th),TEN 82.0%,2945,18.0
92,10:16 - 4th),TEN 84.2%,2984,15.799999999999997
93,9:22 - 4th) ,TEN 93.1%,3038,6.900000000000006
94,9:17 - 4th) ,TEN 92.8%,3043,7.200000000000003
95,8:33 - 4th) ,TEN 96.5%,3087,3.5
96,7:50 - 4th) ,TEN 95.7%,3130,4.299999999999997
97,7:09 - 4th) ,TEN 95.5%,3171,4.5
98,7:03 - 4th) ,TEN 95.9%,3177,4.099999999999994
99,6:16 - 4th) ,TEN 95.6%,3224,4.400000000000006
100,6:08 - 4th) ,TEN 95.8%,3232,4.200000000000003
101,6:02 - 4th) ,TEN 89.8%,3238,10.200000000000003
102,5:34 - 4th) ,TEN 93.1%,3266,6.900000000000006
103,4:55 - 4th) ,TEN 90.5%,3305,9.5
104,4:18 - 4th) ,TEN 92.9%,3342,7.099999999999994
105,4:14 - 4th) ,TEN 93.5%,3346,6.5
106,3:38 - 4th) ,TEN 95.8%,3382,4.200000000000003
107,3:29 - 4th) ,TEN 94.2%,3391,5.799999999999997
108,3:16 - 4th) ,TEN 90.9%,3404,9.099999999999994
109,2:57 - 4th) ,TEN 92.5%,3423,7.5
110,2:30 - 4th) ,TEN 94.7%,3450,5.299999999999997
111,2:24 - 4th) ,TEN 95.8%,3456,4.200000000000003
112,2:13 - 4th) ,TEN 86.4%,3467,13.599999999999994
113,2:00 - 4th) ,TEN 88.8%,3480,11.200000000000003
114,1:56 - 4th) ,TEN 82.4%,3484,17.599999999999994
115,1:49 - 4th) ,TEN 86.5%,3491,13.5
116,1:37 - 4th) ,TEN 83.5%,3503,16.5
117,1:32 - 4th) ,TEN 85.0%,3508,15.0
118,1:22 - 4th) ,TEN 92.2%,3518,7.799999999999997
119,1:13 - 4th) ,TEN 99.9%,3527,0.09999999999999432
120,0:39 - 4th) ,TEN 99.9%,3561,0.09999999999999432
121,0:00 - 4th) ,TEN 100%,3600,0.0
